image_path,race,dominant_race,region,face_confidence,gender,dominant_gender
dlib/Jennifer_Aniston_-4.png,"{'asian': np.float32(0.23878986), 'indian': np.float32(0.29991686), 'black': np.float32(0.013638956), 'white': np.float32(72.86747), 'middle eastern': np.float32(12.621345), 'latino hispanic': np.float32(13.958843)}",white,"{'x': 80, 'y': 91, 'w': 90, 'h': 89, 'left_eye': (144, 113), 'right_eye': (104, 111)}",1.0,"{'Woman': np.float32(6.4310246), 'Man': np.float32(93.56897)}",Man
dlib/Jennifer_Aniston_-8.png,"{'asian': np.float32(1.0157576), 'indian': np.float32(0.31366873), 'black': np.float32(0.021295883), 'white': np.float32(80.37363), 'middle eastern': np.float32(5.925892), 'latino hispanic': np.float32(12.349758)}",white,"{'x': 80, 'y': 91, 'w': 90, 'h': 89, 'left_eye': (142, 111), 'right_eye': (103, 119)}",1.0,"{'Woman': np.float32(32.64769), 'Man': np.float32(67.35231)}",Man
dlib/Jennifer_Aniston_-5.png,"{'asian': np.float32(0.0067762146), 'indian': np.float32(0.03495178), 'black': np.float32(0.0010231433), 'white': np.float32(93.501884), 'middle eastern': np.float32(4.443871), 'latino hispanic': np.float32(2.011497)}",white,"{'x': 74, 'y': 74, 'w': 107, 'h': 108, 'left_eye': (145, 109), 'right_eye': (102, 118)}",1.0,"{'Woman': np.float32(99.13149), 'Man': np.float32(0.86850375)}",Woman
dlib/Jennifer_Aniston_-19.png,"{'asian': np.float32(0.0015657402), 'indian': np.float32(0.02414758), 'black': np.float32(0.00032263796), 'white': np.float32(86.568115), 'middle eastern': np.float32(8.666171), 'latino hispanic': np.float32(4.7396817)}",white,"{'x': 74, 'y': 86, 'w': 107, 'h': 108, 'left_eye': (145, 114), 'right_eye': (105, 114)}",1.0,"{'Woman': np.float32(1.0721002), 'Man': np.float32(98.927895)}",Man
dlib/Jennifer_Aniston_-18.png,"{'asian': np.float32(0.00076466665), 'indian': np.float32(0.008423171), 'black': np.float32(0.0002162489), 'white': np.float32(96.375984), 'middle eastern': np.float32(2.570072), 'latino hispanic': np.float32(1.0445353)}",white,"{'x': 74, 'y': 86, 'w': 107, 'h': 108, 'left_eye': (144, 114), 'right_eye': (101, 115)}",1.0,"{'Woman': np.float32(49.325848), 'Man': np.float32(50.67416)}",Man
dlib/Jennifer_Aniston_-11.png,"{'asian': np.float32(0.06143489), 'indian': np.float32(0.13541785), 'black': np.float32(0.0105894115), 'white': np.float32(85.98932), 'middle eastern': np.float32(7.67187), 'latino hispanic': np.float32(6.131374)}",white,"{'x': 80, 'y': 91, 'w': 90, 'h': 89, 'left_eye': (140, 111), 'right_eye': (103, 111)}",1.0,"{'Woman': np.float32(2.1478693), 'Man': np.float32(97.852135)}",Man
dlib/Jennifer_Aniston_-10.png,"{'asian': np.float32(2.4224448e-05), 'indian': np.float32(0.0034125769), 'black': np.float32(8.6036625e-06), 'white': np.float32(96.63452), 'middle eastern': np.float32(2.8719182), 'latino hispanic': np.float32(0.49011424)}",white,"{'x': 74, 'y': 86, 'w': 107, 'h': 108, 'left_eye': (147, 112), 'right_eye': (104, 109)}",1.0,"{'Woman': np.float32(99.99827), 'Man': np.float32(0.0017318295)}",Woman
dlib/Jennifer_Aniston_-13.png,"{'asian': np.float32(2.2790728), 'indian': np.float32(3.793047), 'black': np.float32(1.157452), 'white': np.float32(46.00801), 'middle eastern': np.float32(20.595583), 'latino hispanic': np.float32(26.166834)}",white,"{'x': 74, 'y': 86, 'w': 107, 'h': 108, 'left_eye': (147, 117), 'right_eye': (102, 109)}",1.0,"{'Woman': np.float32(3.6361861), 'Man': np.float32(96.363815)}",Man
dlib/Jennifer_Aniston_-7.png,"{'asian': np.float32(1.1442071), 'indian': np.float32(1.8039494), 'black': np.float32(0.15659128), 'white': np.float32(61.567375), 'middle eastern': np.float32(17.176004), 'latino hispanic': np.float32(18.151876)}",white,"{'x': 62, 'y': 74, 'w': 107, 'h': 108, 'left_eye': (135, 114), 'right_eye': (104, 118)}",0.8,"{'Woman': np.float32(82.97583), 'Man': np.float32(17.024176)}",Woman
dlib/Jennifer_Aniston_-17.png,"{'asian': np.float32(0.00594951), 'indian': np.float32(0.029788202), 'black': np.float32(0.001034798), 'white': np.float32(89.07889), 'middle eastern': np.float32(6.481239), 'latino hispanic': np.float32(4.403102)}",white,"{'x': 62, 'y': 74, 'w': 107, 'h': 108, 'left_eye': (137, 112), 'right_eye': (97, 116)}",1.0,"{'Woman': np.float32(31.126774), 'Man': np.float32(68.87323)}",Man
